"Status","Name","DisplayName","CanPauseAndContinue","CanShutdown","CanStop","StartType","ServiceType","DependentServices"
"Running","FontCache","Windows Font Cache Service","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","FrameServer","Windows Camera Frame Server","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","FrameServerMonitor","Windows Camera Frame Server Monitor","False","False","False","Manual","Win32OwnProcess",""
"Stopped","GameInputSvc","GameInput Service","False","False","False","Manual","Win32OwnProcess",""
"Running","gpsvc","Group Policy Client","False","False","True","Automatic","Win32OwnProcess",""
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc","False","False","False","Manual","Win32ShareProcess",""
"Stopped","hidserv","Human Interface Device Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","hpatchmon","Hotpatch Monitoring Service","False","False","False","Manual","Win32OwnProcess",""
"Running","HvHost","HV Host Service","False","True","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","icssvc","Windows Mobile Hotspot Service","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","igccservice","Intel(R) Graphics Command Center Service","True","True","True","Automatic","Win32OwnProcess",""
"Stopped","IKEEXT","IKE and AuthIP IPsec Keying Modules","False","False","False","Manual","Win32ShareProcess","XboxNetApiSvc"
"Running","InstallService","Microsoft Store Install Service","False","False","True","Manual","Win32OwnProcess",""
"Stopped","Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","False","False","False","Automatic","Win32OwnProcess",""
"Running","InventorySvc","Inventory and Compatibility Appraisal service","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","ipfsvc","Intel(R) Innovation Platform Framework Service","True","False","True","Automatic","Win32OwnProcess",""
"Running","iphlpsvc","IP Helper","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess","NcaSvc"
"Stopped","IpxlatCfgSvc","IP Translation Configuration Service","False","False","False","Manual","Win32ShareProcess",""
"Running","jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","False","False","True","Automatic","Win32OwnProcess",""
"Running","KeyIso","CNG Key Isolation","False","False","True","Manual","Win32ShareProcess","XboxNetApiSvc;dot3svc;EapHost"
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator","False","False","False","Manual","Win32ShareProcess",""
"Running","LanmanServer","Server","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Running","LanmanWorkstation","Workstation","True","False","True","Automatic","Win32OwnProcess, Win32ShareProcess","SessionEnv;Netlogon"
"Running","LenovoFnAndFunctionKeys","Lenovo Fn and function keys service","False","True","True","Automatic","Win32OwnProcess",""
"Running","lfsvc","Geolocation Service","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","LibreOfficeMaintenance","LibreOffice Maintenance Service","False","False","False","Manual","Win32OwnProcess",""
"Running","LicenseManager","Windows License Manager Service","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper","False","False","False","Manual","Win32ShareProcess",""
"Running","lmhosts","TCP/IP NetBIOS Helper","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","LocalKdc","Kerberos Local Key Distribution Center","False","False","False","Manual","Win32ShareProcess",""
"Running","LSM","Local Session Manager","False","False","False","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","LxpSvc","Language Experience Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","MapsBroker","Downloaded Maps Manager","False","False","False","Automatic","Win32OwnProcess",""
"Stopped","McmSvc","This service provides profile management for mobile connectivity modules","False","False","False","Manual","Win32OwnProcess",""
"Stopped","McpManagementService","McpManagementService","False","False","False","Manual","Win32OwnProcess",""
"Running","MDCoreSvc","Microsoft Defender Core Service","False","True","True","Automatic","Win32OwnProcess",""
"Stopped","MessagingService_47e64","MessagingService_47e64","False","False","False","Manual","224",""
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","False","False","False","Manual","Win32OwnProcess",""
"Stopped","MozillaMaintenance","Mozilla Maintenance Service","False","False","False","Manual","Win32OwnProcess",""
"Running","mpssvc","Windows Defender Firewall","False","False","False","Automatic","Win32ShareProcess","XboxNetApiSvc"
"Stopped","MSDTC","Distributed Transaction Coordinator","False","False","False","Manual","Win32OwnProcess",""
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","msiserver","Windows Installer","False","False","False","Manual","Win32OwnProcess",""
"Stopped","NaturalAuthentication","Natural Authentication","False","False","False","Manual","Win32ShareProcess",""
"Stopped","NcaSvc","Network Connectivity Assistant","False","False","False","Manual","Win32ShareProcess",""
"Running","NcbService","Network Connection Broker","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess","CDPSvc"
"Stopped","NcdAutoSetup","Network Connected Devices Auto-Setup","False","False","False","Manual","Win32ShareProcess",""
"Stopped","Netlogon","Netlogon","False","False","False","Manual","Win32ShareProcess",""
"Stopped","Netman","Network Connections","False","False","False","Manual","Win32ShareProcess",""
"Running","netprofm","Network List Service","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess","NcdAutoSetup"
"Stopped","NetSetupSvc","Network Setup Service","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service","False","False","False","Disabled","Win32ShareProcess",""
"Stopped","NgcCtnrSvc","Microsoft Passport Container","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","NgcSvc","Microsoft Passport","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","NlaSvc","Network Location Awareness","False","False","False","Manual","Win32ShareProcess",""
"Running","NPSMSvc_47e64","Now Playing Session Manager Service_47e64","False","False","True","Manual","240",""
"Running","nsi","Network Store Interface Service","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess","WinRM;WlanSvc;icssvc;Wcmsvc;upnphost;SSDPSRV;NcdAutoSetup;netprofm;Netman;NcaSvc;XboxNetApiSvc;mpssvc;SessionEnv;Netlogon;LanmanWorkstation;jhi_service;IpxlatCfgSvc;iphlpsvc;IKEEXT;WinHttpAutoProxySvc;Dnscache;Dhcp"
"Stopped","P9RdrService_47e64","P9RdrService_47e64","False","False","False","Manual","224",""
"Running","PcaSvc","Program Compatibility Assistant Service","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","PenService_47e64","PenService_47e64","False","False","False","Manual","224",""
"Stopped","perceptionsimulation","Windows Perception Simulation Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","PerfHost","Performance Counter DLL Host","False","False","False","Manual","Win32OwnProcess",""
"Stopped","PhoneSvc","Phone Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","PimIndexMaintenanceSvc_47e64","Contact Data_47e64","False","False","False","Manual","224",""
"Stopped","pla","Performance Logs & Alerts","False","False","False","Manual","Win32ShareProcess",""
"Running","PlugPlay","Plug and Play","False","True","True","Manual","Win32ShareProcess",""
"Stopped","PolicyAgent","IPsec Policy Agent","False","False","False","Manual","Win32ShareProcess",""
"Running","Power","Power","False","False","False","Automatic","Win32ShareProcess",""
"Stopped","PrintDeviceConfigurationService","Print Device Configuration Service","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","PrintNotify","Printer Extensions and Notifications","False","False","False","Manual","Win32ShareProcess, InteractiveProcess",""
"Stopped","PrintScanBrokerService","PrintScanBrokerService","False","False","False","Manual","Win32ShareProcess",""
"Stopped","PrintWorkflowUserSvc_47e64","PrintWorkflow_47e64","False","False","False","Manual","224",""
"Running","ProfSvc","User Profile Service","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess","XblGameSave;TokenBroker;UserManager;shpamsvc;NaturalAuthentication;Appinfo"
"Stopped","PushToInstall","Windows PushToInstall Service","False","False","False","Manual","Win32OwnProcess, Win32ShareProcess",""
"Stopped","QWAVE","Quality Windows Audio Video Experience","False","False","False","Manual","Win32ShareProcess",""
"Stopped","RasAuto","Remote Access Auto Connection Manager","False","False","False","Manual","Win32ShareProcess",""
"Running","RasMan","Remote Access Connection Manager","False","True","True","Manual","Win32ShareProcess","RemoteAccess"
"Stopped","refsdedupsvc","ReFS Dedup Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","RemoteAccess","Routing and Remote Access","False","False","False","Disabled","Win32ShareProcess",""
"Stopped","RemoteRegistry","Remote Registry","False","False","False","Disabled","Win32ShareProcess",""
"Stopped","RetailDemo","Retail Demo Service","False","False","False","Manual","Win32ShareProcess",""
"Running","RmSvc","Radio Management Service","False","False","True","Manual","Win32OwnProcess, Win32ShareProcess",""
"Running","RpcEptMapper","RPC Endpoint Mapper","False","False","False","Automatic","Win32ShareProcess","refsdedupsvc;NaturalAuthentication;Schedule;SystemEventsBroker;webthreatdefusersvc_47e64;PrintWorkflowUserSvc_47e64;P9RdrService_47e64;DevicesFlowUserSvc_47e64;DevicePickerUserSvc_47e64;DeviceAssociationBrokerSvc_47e64;CredentialEnrollmentManagerUserSvc_47e64;ConsentUxUserSvc_47e64;CaptureService_47e64;BluetoothUserService_47e64;BcastDVRUserService_47e64;ZTHELPER;XblGameSave;XblAuthManager;McmSvc;wlpasvc;WwanSvc;wuauserv;workfolderssvc;WSearch;wscsvc;WSAIFabricSvc;WpnService;WPDBusEnum;WManSvc;wlidsvc;WlanSvc;wisvc;WinRM;VMUSBArbService;VMAuthdService;Winmgmt;WinDefend;WiaRpc;whesvc;WFDSConMgrSvc;WEPHOSTSVC;webthreatdefusersvc;webthreatdefsvc;wcncsvc;icssvc;Wcmsvc;WbioSrvc;WaaSMedicSvc;VSS;vds;VaultSvc;UsoSvc;TokenBroker;UserManager;TroubleshootingSvc;TrkWks;TextInputManagementService;UmRdpService;TermService;RemoteAccess;RasMan;TapiSrv;SysMain;swprv;StiSvc;camsvc;AppXSvc;StateRepository;sppsvc;Spooler;SmsRouter;smphost;shpamsvc;ShellHWDetection;SessionEnv;SEMgrSvc;SecurityHealthService;SDRSVC;SCPolicySvc;MSDTC;LanmanServer;KtmRm;SamSs;RmSvc;RemoteRegistry;QWAVE;PushToInstall;Appinfo;ProfSvc;PrintWorkflowUserSvc;PrintScanBrokerService;PrintNotify;PrintDeviceConfigurationService;pla;PhoneSvc;PerfHost;perceptionsimulation;PcaSvc;P9RdrService;upnphost;SSDPSRV;NcdAutoSetup;netprofm;Netman;NcaSvc;XboxNetApiSvc;mpssvc;Netlogon;LanmanWorkstation;jhi_service;IpxlatCfgSvc;iphlpsvc;IKEEXT;WinHttpAutoProxySvc;Dnscache;Dhcp;nsi;NgcSvc;NgcCtnrSvc;NetSetupSvc;CDPSvc;NcbService;msiserver;MicrosoftEdgeElevationService;McpManagementService;MapsBroker;LSM;LocalKdc;lltdsvc;LicenseManager;lfsvc;dot3svc;EapHost;KeyIso;InventorySvc;InstallService;gpsvc;FrameServerMonitor;FrameServer;fhsvc;FDResPub;fdPHost;COMSysApp;SENS;EventSystem;EntAppSvc;EFS;edgeupdatem;edgeupdate;DusmSvc;DsmSvc;DoSvc;dmwappushservice;DmEnrollmentSvc;DispBrokerDesktopSvc;DiagTrack;diagsvc;DevicesFlowUserSvc;DevicePickerUserSvc;DeviceAssociationBrokerSvc;defragsvc;dcsvc;applockerfltr;AppIDSvc;CryptSvc;CredentialEnrollmentManagerUserSvc;CoreMessagingRegistrar;ConsentUxUserSvc;ClipSVC;CertPropSvc;CaptureService;BthAvctpSvc;BTAGService;embeddedmode;BrokerInfrastructure;BluetoothUserService;BITS;ZTDNS;wtd;WdNisSvc;WdNisDrv;SharedAccess;PolicyAgent;BFE;BcastDVRUserService;AxInstSV;autotimesvc;AarSvc_47e64;RtkAudioUniversalService;AarSvc;Audiosrv;ApxSvc;RpcSs"
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator","False","False","False","Manual","Win32OwnProcess",""
"Running","RpcSs","Remote Procedure Call (RPC)","False","False","False","Automatic","Win32ShareProcess","webthreatdefusersvc_47e64;PrintWorkflowUserSvc_47e64;P9RdrService_47e64;DevicesFlowUserSvc_47e64;DevicePickerUserSvc_47e64;DeviceAssociationBrokerSvc_47e64;CredentialEnrollmentManagerUserSvc_47e64;ConsentUxUserSvc_47e64;CaptureService_47e64;BluetoothUserService_47e64;BcastDVRUserService_47e64;ZTHELPER;XblGameSave;XblAuthManager;McmSvc;wlpasvc;WwanSvc;wuauserv;workfolderssvc;WSearch;wscsvc;WSAIFabricSvc;WpnService;WPDBusEnum;WManSvc;wlidsvc;WlanSvc;wisvc;WinRM;VMUSBArbService;VMAuthdService;Winmgmt;WinDefend;WiaRpc;whesvc;WFDSConMgrSvc;WEPHOSTSVC;webthreatdefusersvc;webthreatdefsvc;wcncsvc;icssvc;Wcmsvc;WbioSrvc;WaaSMedicSvc;VSS;vds;VaultSvc;UsoSvc;TokenBroker;UserManager;TroubleshootingSvc;TrkWks;TextInputManagementService;UmRdpService;TermService;RemoteAccess;RasMan;TapiSrv;refsdedupsvc;NaturalAuthentication;Schedule;SystemEventsBroker;SysMain;swprv;StiSvc;camsvc;AppXSvc;StateRepository;sppsvc;Spooler;SmsRouter;smphost;shpamsvc;ShellHWDetection;SessionEnv;SEMgrSvc;SecurityHealthService;SDRSVC;SCPolicySvc;MSDTC;LanmanServer;KtmRm;SamSs;RmSvc;RemoteRegistry;QWAVE;PushToInstall;Appinfo;ProfSvc;PrintWorkflowUserSvc;PrintScanBrokerService;PrintNotify;PrintDeviceConfigurationService;pla;PhoneSvc;PerfHost;perceptionsimulation;PcaSvc;P9RdrService;upnphost;SSDPSRV;NcdAutoSetup;netprofm;Netman;NcaSvc;XboxNetApiSvc;mpssvc;Netlogon;LanmanWorkstation;jhi_service;IpxlatCfgSvc;iphlpsvc;IKEEXT;WinHttpAutoProxySvc;Dnscache;Dhcp;nsi;NgcSvc;NgcCtnrSvc;NetSetupSvc;CDPSvc;NcbService;msiserver;MicrosoftEdgeElevationService;McpManagementService;MapsBroker;LSM;LocalKdc;lltdsvc;LicenseManager;lfsvc;dot3svc;EapHost;KeyIso;InventorySvc;InstallService;gpsvc;FrameServerMonitor;FrameServer;fhsvc;FDResPub;fdPHost;COMSysApp;SENS;EventSystem;EntAppSvc;EFS;edgeupdatem;edgeupdate;DusmSvc;DsmSvc;DoSvc;dmwappushservice;DmEnrollmentSvc;DispBrokerDesktopSvc;DiagTrack;diagsvc;DevicesFlowUserSvc;DevicePickerUserSvc;DeviceAssociationBrokerSvc;defragsvc;dcsvc;applockerfltr;AppIDSvc;CryptSvc;CredentialEnrollmentManagerUserSvc;CoreMessagingRegistrar;ConsentUxUserSvc;ClipSVC;CertPropSvc;CaptureService;BthAvctpSvc;BTAGService;embeddedmode;BrokerInfrastructure;BluetoothUserService;BITS;ZTDNS;wtd;WdNisSvc;WdNisDrv;SharedAccess;PolicyAgent;BFE;BcastDVRUserService;AxInstSV;autotimesvc;AarSvc_47e64;RtkAudioUniversalService;AarSvc;Audiosrv;ApxSvc"
"Running","RtkAudioUniversalService","Realtek Audio Universal Service","False","True","True","Automatic","Win32OwnProcess",""
"Running","SamSs","Security Accounts Manager","False","False","False","Automatic","Win32ShareProcess","MSDTC;LanmanServer;KtmRm"
"Stopped","SCardSvr","Smart Card","False","False","False","Manual","Win32ShareProcess",""
"Stopped","ScDeviceEnum","Smart Card Device Enumeration Service","False","False","False","Manual","Win32ShareProcess",""
"Running","Schedule","Task Scheduler","False","True","True","Automatic","Win32OwnProcess, Win32ShareProcess","refsdedupsvc;NaturalAuthentication"
"Stopped","SCPolicySvc","Smart Card Removal Policy","False","False","False","Manual","Win32ShareProcess",""
"Stopped","SDRSVC","Windows Backup","False","False","False","Manual","Win32OwnProcess",""
"Stopped","seclogon","Secondary Log-on","False","False","False","Manual","Win32ShareProcess",""
"Running","SecurityHealthService","Windows Security Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","SEMgrSvc","Payments and NFC/SE Manager","False","False","False","Manual","Win32OwnProcess",""
"Running","SENS","System Event Notification Service","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess","COMSysApp"
"Stopped","SensorDataService","Sensor Data Service","False","False","False","Manual","Win32OwnProcess",""
"Stopped","SensorService","Sensor Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","SensrSvc","Sensor Monitoring Service","False","False","False","Manual","Win32ShareProcess",""
"Stopped","SessionEnv","Remote Desktop Configuration","False","False","False","Manual","Win32ShareProcess",""
"Stopped","SharedAccess","Internet Connection Sharing (ICS)","False","False","False","Manual","Win32ShareProcess",""
"Running","ShellHWDetection","Shell Hardware Detection","False","False","True","Automatic","Win32OwnProcess, Win32ShareProcess",""
"Stopped","shpamsvc","Shared PC Account Manager","False","False","False","Disabled","Win32ShareProcess",""
"Stopped","smphost","Microsoft Storage Spaces SMP","False","False","False","Manual","Win32OwnProcess",""
